rank,제목,가수,앨범,발매일,장르,유통사
76,보금자리,임영웅,IM HERO,2022.05.02,"발라드, 성인가요/트로트, 포크/블루스, 랩/힙합, 록/메탈, 재즈",Dreamus
77,MAESTRO,세븐틴 (SEVENTEEN),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE',2024.04.29,"댄스, 랩/힙합, R&B/Soul, 록/메탈",YG PLUS
78,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2023.10.27,댄스,YG PLUS
79,주저하는 연인들을 위해,잔나비,전설,2019.03.13,"록/메탈, 인디음악",카카오엔터테인먼트
80,Right Now,NewJeans,Supernatural,2024.06.21,J-POP,YG PLUS
81,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2023.07.14,발라드,지니뮤직
82,버추얼 아이돌,PLAVE,ASTERUM : 134-1,2024.02.26,"랩/힙합, 록/메탈, 발라드, R&B/Soul",YG PLUS
83,LOVE DIVE,IVE (아이브),LOVE DIVE,2022.04.05,댄스,카카오엔터테인먼트
84,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2023.11.02,"R&B/Soul, 댄스",카카오엔터테인먼트
85,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2022.03.30,"록/메탈, 발라드, R&B/Soul",카카오엔터테인먼트
86,Love Lee,AKMU (악뮤),Love Lee,2023.08.21,"댄스, 포크/블루스",YG PLUS
87,봄날,방탄소년단,YOU NEVER WALK ALONE,2017.02.13,"랩/힙합, 발라드",YG PLUS
88,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2022.10.07,POP,워너뮤직
89,봄눈,10CM,선재 업고 튀어 OST Part 8,2024.05.14,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment"
90,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2021.05.19,발라드,카카오엔터테인먼트
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2019.09.25,"발라드, 록/메탈, 포크/블루스",YG PLUS
92,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2018.03.20,"발라드, 국내드라마",카카오엔터테인먼트
93,Impossible,RIIZE,RIIZING - The 1st Mini Album,2024.06.17,"댄스, R&B/Soul",카카오엔터테인먼트
94,취중고백,김민석,취중고백,2021.12.19,발라드,워너뮤직
95,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,2023.12.17,"국내드라마, 발라드",NHN벅스
96,사랑한다는 말의 뜻을 알아가자 (Meaning of Love),NCT 127,WALK - The 6th Album,2024.07.15,댄스,카카오엔터테인먼트
97,Siren,RIIZE,RIIZING - The 1st Mini Album,2024.06.17,"댄스, R&B/Soul",카카오엔터테인먼트
98,EASY,LE SSERAFIM (르세라핌),EASY,2024.02.19,"R&B/Soul, 랩/힙합, 록/메탈, 포크/블루스",YG PLUS
99,Lucky Girl Syndrome,아일릿(ILLIT),SUPER REAL ME,2024.03.25,댄스,"지니뮤직, Stone Music Entertainment"
100,내가 그댈,하동균,내가 그댈,2024.06.23,R&B/Soul,워너뮤직
